imagesource,ratiodec,imagesqin,ui,uicost
San Diego,0.12,133,38,0.627
San Diego,0.12,213,48,0.66
San Diego,0.12,306,57,0.792
San Diego,0.12,417,67,0.858
San Diego,0.12,,,0.858
San Diego,0.14,192,38,0.627
San Diego,0.14,300,48,0.66
San Diego,0.14,540,64,0.792
San Diego,0.14,,,0.858
San Diego,0.16,222,43,0.627
San Diego,0.16,345,54,0.66
San Diego,0.16,473,63,0.792
San Diego,0.16,,,0.858
San Diego,0.17,784,42,0.66
San Diego,0.17,784,49,0.627
San Diego,0.17,784,56,0.693
San Diego,0.17,784,63,0.792
San Diego,0.17,,,0.858
San Diego,0.18,784,38,0.66
San Diego,0.18,300,48,0.627
San Diego,0.18,432,57,0.693
San Diego,0.18,507,62,0.792
San Diego,0.18,,,0.858
San Diego,0.2,180,36,0.66
San Diego,0.2,245,42,0.627
San Diego,0.2,320,48,0.693
San Diego,0.2,500,60,0.792
San Diego,0.2,,,0.858
San Diego,0.22,224,39,0.66
San Diego,0.22,350,49,0.627
San Diego,0.22,504,59,0.693
San Diego,0.22,610,65,0.792
San Diego,0.22,,,0.858
San Diego,0.24,264,41,0.66
San Diego,0.24,415,52,0.627
San Diego,0.24,506,57,0.693
San Diego,0.24,650,65,0.792
San Diego,0.24,,,0.858
San Diego,0.25,256,40,0.66
San Diego,0.25,400,50,0.627
San Diego,0.25,576,60,0.693
San Diego,0.25,784,70,0.792
San Diego,0.25,,,0.858
San Diego,0.27,240,38,0.66
San Diego,0.27,375,48,0.627
San Diego,0.27,540,57,0.693
San Diego,0.27,840,71,0.792
San Diego,0.27,,,0.858
San Diego,0.28,255,39,0.66
San Diego,0.28,429,50,0.627
San Diego,0.28,574,58,0.693
San Diego,0.28,767,67,0.792
San Diego,0.28,,,0.858
San Diego,0.29,123,27,0.66
San Diego,0.29,218,36,0.627
San Diego,0.29,492,53,0.693
San Diego,0.29,872,71,0.792
San Diego,0.29,,,0.858
San Diego,0.3,143,29,0.66
San Diego,0.3,304,42,0.627
San Diego,0.3,684,63,0.693
San Diego,0.3,864,70,0.792
San Diego,0.3,,,0.858
San Diego,0.31,320,42,0.66
San Diego,0.31,500,53,0.627
San Diego,0.31,720,63,0.693
San Diego,0.31,845,69,0.792
San Diego,0.31,,,0.858
San Diego,0.32,310,41,0.66
San Diego,0.32,520,53,0.627
San Diego,0.32,744,64,0.693
San Diego,0.32,901,70,0.792
San Diego,0.32,,,0.858
San Diego,0.33,300,40,0.66
San Diego,0.33,432,48,0.627
San Diego,0.33,768,64,0.693
San Diego,0.33,1200,72,0.792
San Diego,0.33,,,0.858
San Diego,0.34,352,43,0.66
San Diego,0.34,550,54,0.627
San Diego,0.34,792,65,0.693
San Diego,0.34,1078,76,0.792
San Diego,0.34,,,0.858
San Diego,0.35,184,31,0.66
San Diego,0.35,414,47,0.627
San Diego,0.35,736,62,0.693
San Diego,0.35,936,70,0.792
San Diego,0.35,,,0.858
San Diego,0.36,280,38,0.66
San Diego,0.36,402,46,0.627
San Diego,0.36,630,57,0.693
San Diego,0.36,962,71,0.792
San Diego,0.36,,,0.858
San Diego,0.37,330,41,0.66
San Diego,0.37,532,52,0.627
San Diego,0.37,743,62,0.693
San Diego,0.37,988,71,0.792
San Diego,0.37,,,0.858
San Diego,0.38,384,44,0.66
San Diego,0.38,600,55,0.627
San Diego,0.38,864,66,0.693
San Diego,0.38,1014,72,0.792
San Diego,0.38,,,0.858
San Diego,0.39,284,38,0.66
San Diego,0.39,620,56,0.627
San Diego,0.39,788,63,0.693
San Diego,0.39,1134,75,0.792
San Diego,0.39,,,0.858
San Diego,0.4,308,39,0.66
San Diego,0.4,652,57,0.627
San Diego,0.4,1020,71,0.693
San Diego,0.4,1148,76,0.792
San Diego,0.4,,,0.858
San Diego,0.41,156,28,0.66
San Diego,0.41,351,42,0.66
San Diego,0.41,624,55,0.627
San Diego,0.41,905,67,0.693
San Diego,0.41,1071,72,0.792
San Diego,0.41,,,0.858
San Diego,0.42,116,24,0.66
San Diego,0.42,462,47,0.66
San Diego,0.42,680,57,0.627
San Diego,0.42,940,67,0.693
San Diego,0.42,1242,77,0.792
San Diego,0.42,,,0.858
San Diego,0.43,336,40,0.66
San Diego,0.43,525,50,0.66
San Diego,0.43,756,60,0.627
San Diego,0.43,1029,70,0.693
San Diego,0.43,1157,75,0.792
San Diego,0.43,,,0.858
